estado,cidade,tarifa_energia,irradiação_mensal,tamanho_sistema_kWp,consumo_mensal_kWh,custo_total_R$,geracao_estimativa_kWh,economia_mensal_R$,tipo_telhado,classe_consumo,possui_incentivo,ano_instalacao,payback_meses
BA,Camaçari,0.88,5.2,8.2,727.3,38765.79,1023.4,640.02,plano,rural,sim,2021,60.6
CE,Maracanaú,0.89,5.5,8.2,811.3,38202.52,1082.4,722.06,plano,residencial,não,2023,52.9
SC,Blumenau,0.83,4.4,6.2,526.3,30510.98,654.7,436.83,plano,rural,não,2019,69.8
DF,Samambaia,0.92,5.0,4.1,953.5,17973.44,492.0,452.64,inclinado,rural,não,2021,39.7
SP,Santos,0.85,4.5,3.0,754.6,13139.43,324.0,275.4,inclinado,residencial,sim,2022,47.7
DF,Planaltina,0.92,5.0,2.5,898.2,11282.25,300.0,276.0,inclinado,rural,não,2022,40.9
CE,Juazeiro do Norte,0.89,5.5,4.6,394.1,21952.7,607.2,350.75,inclinado,residencial,não,2023,62.6
SP,Sorocaba,0.85,4.5,9.6,865.1,41043.91,1036.8,735.34,plano,residencial,não,2021,55.8
BA,Camaçari,0.88,5.2,4.9,330.8,21134.03,611.5,291.1,inclinado,rural,sim,2020,72.6
PE,Jaboatão dos Guararapes,0.87,5.3,3.9,861.9,19264.51,496.1,431.59,plano,rural,sim,2023,44.6
PE,Jaboatão dos Guararapes,0.87,5.3,6.1,603.1,26627.5,775.9,524.7,inclinado,residencial,não,2023,50.7
MG,Juiz de Fora,0.9,5.0,4.6,957.1,22997.93,552.0,496.8,inclinado,rural,sim,2023,46.3
MG,Uberlândia,0.9,5.0,4.4,277.5,19204.36,528.0,249.75,plano,rural,sim,2023,76.9
SC,Criciúma,0.83,4.4,4.3,351.5,20518.4,454.1,291.75,inclinado,rural,não,2020,70.3
DF,Planaltina,0.92,5.0,3.6,872.3,17616.52,432.0,397.44,plano,rural,não,2019,44.3
PE,Petrolina,0.87,5.3,4.3,466.8,21009.15,547.0,406.12,plano,rural,sim,2022,51.7
DF,Samambaia,0.92,5.0,8.9,323.9,38044.84,1068.0,297.99,plano,rural,sim,2021,127.7
SP,Sorocaba,0.85,4.5,2.2,839.1,10248.92,237.6,201.96,plano,residencial,sim,2021,50.7
CE,Maracanaú,0.89,5.5,7.9,500.1,34123.64,1042.8,445.09,plano,residencial,não,2019,76.7
CE,Caucaia,0.89,5.5,4.3,648.9,20810.41,567.6,505.16,plano,residencial,não,2022,41.2
PE,Jaboatão dos Guararapes,0.87,5.3,5.7,414.0,24557.46,725.0,360.18,plano,rural,não,2019,68.2
GO,Goiânia,0.86,5.1,7.3,456.5,34057.45,893.5,392.59,plano,residencial,sim,2021,86.8
SC,Blumenau,0.83,4.4,2.3,357.6,11075.69,242.9,201.59,plano,rural,sim,2023,54.9
BA,Feira de Santana,0.88,5.2,8.8,950.4,38952.25,1098.2,836.35,plano,residencial,sim,2020,46.6
SP,São José dos Campos,0.85,4.5,9.2,284.7,40874.13,993.6,241.99,inclinado,residencial,não,2019,168.9
GO,Goiânia,0.86,5.1,7.2,263.0,30929.34,881.3,226.18,plano,rural,não,2020,136.7
MG,Uberlândia,0.9,5.0,4.1,786.5,17325.43,492.0,442.8,inclinado,rural,sim,2022,39.1
BA,Vitória da Conquista,0.88,5.2,3.1,531.9,14038.03,386.9,340.45,plano,rural,sim,2022,41.2
DF,Ceilândia,0.92,5.0,7.7,383.7,35870.11,924.0,353.0,inclinado,rural,sim,2021,101.6
SP,Sorocaba,0.85,4.5,4.2,570.8,19464.18,453.6,385.56,inclinado,rural,não,2019,50.5
MG,Betim,0.9,5.0,2.5,927.9,11951.72,300.0,270.0,inclinado,rural,sim,2020,44.3
CE,Juazeiro do Norte,0.89,5.5,9.6,304.6,42131.02,1267.2,271.09,plano,rural,sim,2022,155.4
MG,Belo Horizonte,0.9,5.0,5.4,608.1,25399.36,648.0,547.29,inclinado,rural,não,2023,46.4
CE,Sobral,0.89,5.5,8.2,509.6,36255.34,1082.4,453.54,plano,residencial,não,2023,79.9
SC,Florianópolis,0.83,4.4,6.8,954.6,31456.23,718.1,596.01,inclinado,residencial,não,2020,52.8
PE,Olinda,0.87,5.3,9.4,723.8,44662.03,1195.7,629.71,inclinado,rural,não,2020,70.9
RJ,Niterói,1.1,4.8,5.1,896.9,25327.08,587.5,646.27,plano,rural,não,2019,39.2
MG,Uberlândia,0.9,5.0,7.1,383.0,31447.57,852.0,344.7,inclinado,residencial,não,2021,91.2
MG,Betim,0.9,5.0,3.9,520.1,17433.13,468.0,421.2,plano,rural,sim,2022,41.4
PE,Caruaru,0.87,5.3,3.4,312.7,16077.61,432.5,272.05,plano,residencial,sim,2019,59.1
PE,Olinda,0.87,5.3,6.1,921.2,28179.58,775.9,675.05,plano,residencial,não,2023,41.7
CE,Juazeiro do Norte,0.89,5.5,10.0,324.1,46375.58,1320.0,288.45,plano,rural,sim,2023,160.8
MG,Juiz de Fora,0.9,5.0,6.9,703.7,33589.28,828.0,633.33,inclinado,rural,sim,2019,53.0
SP,Sorocaba,0.85,4.5,7.5,916.7,32877.86,810.0,688.5,plano,residencial,não,2022,47.8
MG,Montes Claros,0.9,5.0,7.7,382.9,35491.81,924.0,344.61,inclinado,residencial,sim,2023,103.0
DF,Samambaia,0.92,5.0,7.3,632.8,33228.76,876.0,582.18,inclinado,rural,sim,2019,57.1
BA,Feira de Santana,0.88,5.2,2.0,259.0,8616.23,249.6,219.65,plano,residencial,não,2021,39.2
RS,Porto Alegre,0.95,4.3,8.5,500.4,38174.24,877.2,475.38,plano,residencial,não,2023,80.3
RS,Novo Hamburgo,0.95,4.3,6.0,933.5,27780.98,619.2,588.24,plano,rural,não,2019,47.2
PE,Olinda,0.87,5.3,6.7,859.0,28817.27,852.2,741.45,plano,rural,não,2022,38.9
RS,Novo Hamburgo,0.95,4.3,6.7,673.1,30895.48,691.4,639.44,inclinado,residencial,não,2022,48.3
MG,Montes Claros,0.9,5.0,9.4,715.5,45122.18,1128.0,643.95,plano,residencial,não,2022,70.1
MG,Betim,0.9,5.0,7.4,830.9,32423.68,888.0,747.81,inclinado,rural,não,2020,43.4
CE,Sobral,0.89,5.5,9.8,365.8,42571.7,1293.6,325.56,inclinado,rural,não,2020,130.8
DF,Taguatinga,0.92,5.0,2.3,844.7,10158.26,276.0,253.92,inclinado,residencial,não,2023,40.0
SC,Criciúma,0.83,4.4,9.6,257.0,47535.91,1013.8,213.31,inclinado,rural,não,2021,222.8
RJ,Petrópolis,1.1,4.8,5.4,647.0,25097.77,622.1,684.29,inclinado,residencial,sim,2023,36.7
DF,Ceilândia,0.92,5.0,8.9,892.5,41491.82,1068.0,821.1,inclinado,residencial,sim,2023,50.5
RJ,Petrópolis,1.1,4.8,5.2,351.5,23971.7,599.0,386.65,plano,residencial,sim,2022,62.0
SC,Chapecó,0.83,4.4,7.9,502.3,35222.42,834.2,416.91,inclinado,rural,sim,2020,84.5
GO,Aparecida de Goiânia,0.86,5.1,8.6,580.2,42422.54,1052.6,498.97,inclinado,residencial,não,2020,85.0
MG,Montes Claros,0.9,5.0,9.1,579.3,42991.51,1092.0,521.37,plano,rural,sim,2020,82.5
SP,Sorocaba,0.85,4.5,4.7,308.9,22821.07,507.6,262.56,inclinado,residencial,sim,2022,86.9
SC,Florianópolis,0.83,4.4,8.0,669.0,35248.19,844.8,555.27,plano,rural,não,2020,63.5
SP,São Paulo,0.85,4.5,4.2,514.3,19638.75,453.6,385.56,plano,residencial,não,2020,50.9
BA,Ilhéus,0.88,5.2,6.0,708.6,29141.51,748.8,623.57,plano,residencial,não,2019,46.7
GO,Aparecida de Goiânia,0.86,5.1,8.3,388.1,37326.25,1015.9,333.77,inclinado,residencial,sim,2023,111.8
SC,Chapecó,0.83,4.4,5.8,734.1,25972.74,612.5,508.36,inclinado,rural,sim,2021,51.1
RJ,Rio de Janeiro,1.1,4.8,5.3,360.2,24239.21,610.6,396.22,inclinado,residencial,não,2023,61.2
SP,Sorocaba,0.85,4.5,3.0,279.2,12636.15,324.0,237.32,inclinado,residencial,não,2023,53.2
MG,Belo Horizonte,0.9,5.0,3.8,723.0,16709.65,456.0,410.4,inclinado,residencial,sim,2023,40.7
SC,Joinville,0.83,4.4,5.6,755.3,27364.63,591.4,490.83,inclinado,residencial,sim,2023,55.8
CE,Juazeiro do Norte,0.89,5.5,6.2,787.0,26914.33,818.4,700.43,plano,rural,não,2020,38.4
CE,Juazeiro do Norte,0.89,5.5,8.0,747.9,38730.87,1056.0,665.63,plano,rural,sim,2019,58.2
SC,Blumenau,0.83,4.4,7.5,710.1,32038.62,792.0,589.38,inclinado,residencial,sim,2023,54.4
CE,Sobral,0.89,5.5,2.1,671.7,10104.57,277.2,246.71,plano,residencial,sim,2020,41.0
DF,Planaltina,0.92,5.0,6.3,808.0,30055.51,756.0,695.52,plano,rural,sim,2021,43.2
BA,Camaçari,0.88,5.2,6.1,861.2,28229.0,761.3,669.93,plano,rural,não,2020,42.1
MG,Uberlândia,0.9,5.0,8.2,896.8,37708.81,984.0,807.12,plano,residencial,sim,2022,46.7
BA,Salvador,0.88,5.2,3.6,505.4,17637.49,449.3,395.37,inclinado,residencial,sim,2022,44.6
RJ,Campos dos Goytacazes,1.1,4.8,5.7,497.9,27240.84,656.6,547.69,inclinado,rural,não,2019,49.7
SP,Santos,0.85,4.5,7.2,328.3,31155.27,777.6,279.06,plano,residencial,não,2021,111.6
MG,Belo Horizonte,0.9,5.0,4.3,375.7,21453.12,516.0,338.13,inclinado,residencial,sim,2020,63.4
DF,Brasília,0.92,5.0,3.9,586.7,16718.41,468.0,430.56,plano,rural,sim,2022,38.8
DF,Brasília,0.92,5.0,5.0,275.6,22565.41,600.0,253.55,inclinado,rural,não,2019,89.0
MG,Belo Horizonte,0.9,5.0,4.6,698.7,19679.65,552.0,496.8,inclinado,residencial,sim,2021,39.6
CE,Sobral,0.89,5.5,9.4,403.8,41352.34,1240.8,359.38,inclinado,residencial,não,2020,115.1
DF,Samambaia,0.92,5.0,5.8,555.4,27129.48,696.0,510.97,plano,rural,não,2021,53.1
PE,Caruaru,0.87,5.3,6.3,778.7,28706.81,801.4,677.47,inclinado,residencial,sim,2021,42.4
MG,Belo Horizonte,0.9,5.0,9.3,773.1,39429.9,1116.0,695.79,inclinado,residencial,sim,2021,56.7
SC,Criciúma,0.83,4.4,4.8,530.0,23019.92,506.9,420.71,inclinado,rural,sim,2022,54.7
CE,Caucaia,0.89,5.5,2.3,532.3,10987.73,303.6,270.2,inclinado,residencial,sim,2020,40.7
RJ,Campos dos Goytacazes,1.1,4.8,5.9,387.1,27814.43,679.7,425.81,inclinado,rural,não,2023,65.3
BA,Salvador,0.88,5.2,5.2,932.0,23883.41,649.0,571.08,plano,residencial,sim,2022,41.8
PE,Petrolina,0.87,5.3,4.6,718.7,22997.33,585.1,509.05,plano,rural,não,2019,45.2
BA,Vitória da Conquista,0.88,5.2,7.4,890.4,36662.2,923.5,783.55,inclinado,residencial,não,2022,46.8
SP,Santos,0.85,4.5,5.1,716.7,21563.15,550.8,468.18,inclinado,residencial,sim,2022,46.1
BA,Feira de Santana,0.88,5.2,2.9,734.3,12454.24,361.9,318.49,inclinado,rural,não,2022,39.1
SC,Florianópolis,0.83,4.4,8.8,652.7,39039.68,929.3,541.74,plano,residencial,não,2020,72.1
RJ,Nova Friburgo,1.1,4.8,6.4,610.5,31749.03,737.3,671.55,plano,rural,sim,2022,47.3
RJ,Campos dos Goytacazes,1.1,4.8,2.8,565.7,12982.78,322.6,354.82,inclinado,rural,sim,2021,36.6
MG,Betim,0.9,5.0,5.7,757.9,27836.18,684.0,615.6,plano,rural,sim,2023,45.2
SP,São José dos Campos,0.85,4.5,4.6,758.3,21627.71,496.8,422.28,inclinado,residencial,sim,2022,51.2
CE,Juazeiro do Norte,0.89,5.5,3.5,637.6,17082.14,462.0,411.18,plano,rural,não,2021,41.5
PE,Caruaru,0.87,5.3,4.2,661.3,19170.67,534.2,464.79,plano,rural,sim,2020,41.2
PE,Olinda,0.87,5.3,5.4,582.2,25238.64,686.9,506.51,plano,residencial,sim,2021,49.8
PE,Jaboatão dos Guararapes,0.87,5.3,4.1,451.4,20278.88,521.5,392.72,inclinado,rural,sim,2023,51.6
SP,São José dos Campos,0.85,4.5,2.2,524.3,10713.41,237.6,201.96,plano,residencial,sim,2020,53.0
GO,Catalão,0.86,5.1,6.6,789.2,31016.7,807.8,678.71,plano,rural,sim,2022,45.7
RS,Santa Cruz do Sul,0.95,4.3,9.9,312.0,48771.43,1021.7,296.4,inclinado,residencial,sim,2023,164.5
PE,Olinda,0.87,5.3,9.2,513.6,40581.03,1170.2,446.83,inclinado,residencial,não,2022,90.8
RS,Santa Cruz do Sul,0.95,4.3,4.4,319.2,18926.2,454.1,303.24,inclinado,rural,sim,2023,62.4
SP,Campinas,0.85,4.5,7.1,917.8,34154.92,766.8,651.78,inclinado,residencial,sim,2021,52.4
GO,Catalão,0.86,5.1,9.2,791.0,45991.78,1126.1,680.26,inclinado,residencial,sim,2019,67.6
GO,Aparecida de Goiânia,0.86,5.1,7.2,965.4,31961.04,881.3,757.9,inclinado,residencial,não,2020,42.2
MG,Juiz de Fora,0.9,5.0,3.0,947.9,14408.34,360.0,324.0,plano,rural,não,2023,44.5
DF,Planaltina,0.92,5.0,9.8,695.0,43045.7,1176.0,639.4,plano,rural,não,2021,67.3
SP,Campinas,0.85,4.5,9.5,629.3,43002.59,1026.0,534.9,inclinado,residencial,sim,2020,80.4
RS,Pelotas,0.95,4.3,8.8,769.2,43993.91,908.2,730.74,plano,rural,não,2022,60.2
BA,Camaçari,0.88,5.2,6.9,382.9,29245.25,861.1,336.95,plano,rural,sim,2019,86.8
CE,Sobral,0.89,5.5,2.5,322.0,12331.4,330.0,286.58,plano,residencial,sim,2021,43.0
DF,Ceilândia,0.92,5.0,8.3,413.8,37421.88,996.0,380.7,inclinado,rural,sim,2023,98.3
RJ,Rio de Janeiro,1.1,4.8,5.8,504.7,28913.23,668.2,555.17,inclinado,residencial,não,2020,52.1
RJ,Volta Redonda,1.1,4.8,3.1,694.9,13398.25,357.1,392.83,inclinado,rural,não,2022,34.1
MG,Montes Claros,0.9,5.0,3.9,434.6,17723.28,468.0,391.14,plano,rural,não,2021,45.3
PE,Olinda,0.87,5.3,4.7,890.5,21156.07,597.8,520.12,inclinado,residencial,não,2019,40.7
SP,São José dos Campos,0.85,4.5,5.2,625.1,24682.01,561.6,477.36,inclinado,rural,sim,2021,51.7
GO,Rio Verde,0.86,5.1,7.0,537.6,31042.89,856.8,462.34,plano,residencial,sim,2023,67.1
SC,Chapecó,0.83,4.4,3.1,293.8,15463.43,327.4,243.85,inclinado,residencial,não,2023,63.4
SC,Chapecó,0.83,4.4,5.8,427.3,24455.15,612.5,354.66,inclinado,rural,não,2021,69.0
SP,Santos,0.85,4.5,10.0,405.8,49714.43,1080.0,344.93,inclinado,rural,não,2020,144.1
DF,Planaltina,0.92,5.0,8.4,688.0,36500.75,1008.0,632.96,inclinado,residencial,sim,2019,57.7
MG,Betim,0.9,5.0,3.0,818.5,14581.26,360.0,324.0,plano,rural,sim,2021,45.0
PE,Caruaru,0.87,5.3,4.6,483.8,21045.05,585.1,420.91,inclinado,rural,não,2023,50.0
CE,Caucaia,0.89,5.5,8.8,666.6,41280.04,1161.6,593.27,plano,residencial,sim,2023,69.6
CE,Juazeiro do Norte,0.89,5.5,3.8,404.7,16103.11,501.6,360.18,inclinado,residencial,não,2020,44.7
RJ,Volta Redonda,1.1,4.8,2.8,519.6,12502.77,322.6,354.82,plano,residencial,não,2023,35.2
RS,Caxias do Sul,0.95,4.3,8.0,304.3,38364.35,825.6,289.08,plano,residencial,sim,2021,132.7
SC,Joinville,0.83,4.4,9.7,924.2,47836.61,1024.3,767.09,inclinado,residencial,não,2022,62.4
CE,Juazeiro do Norte,0.89,5.5,4.5,571.7,21741.46,594.0,508.81,plano,rural,sim,2019,42.7
SP,São Paulo,0.85,4.5,6.3,402.2,28635.04,680.4,341.87,inclinado,rural,não,2021,83.8
BA,Juazeiro,0.88,5.2,2.9,488.7,12339.3,361.9,318.49,inclinado,residencial,não,2022,38.7
SP,São José dos Campos,0.85,4.5,8.0,875.0,34844.1,864.0,734.4,inclinado,residencial,não,2023,47.4
GO,Aparecida de Goiânia,0.86,5.1,3.6,974.8,17744.8,440.6,378.95,plano,residencial,não,2019,46.8
PE,Olinda,0.87,5.3,3.2,416.1,15767.78,407.0,354.12,plano,rural,não,2020,44.5
SP,Santos,0.85,4.5,8.6,312.7,41318.34,928.8,265.79,inclinado,rural,não,2019,155.5
SP,Sorocaba,0.85,4.5,2.2,762.9,10373.58,237.6,201.96,plano,residencial,sim,2021,51.4
CE,Caucaia,0.89,5.5,7.6,436.6,35814.88,1003.2,388.57,plano,rural,sim,2021,92.2
SC,Florianópolis,0.83,4.4,8.6,909.7,38014.36,908.2,753.77,plano,residencial,sim,2021,50.4
RJ,Petrópolis,1.1,4.8,9.6,521.0,45179.69,1105.9,573.1,plano,residencial,não,2023,78.8
RS,Santa Cruz do Sul,0.95,4.3,7.4,415.3,32181.28,763.7,394.53,plano,rural,não,2023,81.6
BA,Salvador,0.88,5.2,2.8,364.6,13390.05,349.4,307.51,inclinado,rural,sim,2020,43.5
BA,Salvador,0.88,5.2,4.0,516.8,17213.37,499.2,439.3,plano,residencial,sim,2022,39.2
RJ,Rio de Janeiro,1.1,4.8,3.6,360.6,16181.34,414.7,396.66,plano,rural,sim,2020,40.8
MG,Juiz de Fora,0.9,5.0,2.9,749.1,12576.41,348.0,313.2,plano,rural,sim,2023,40.2
BA,Salvador,0.88,5.2,2.9,770.8,14065.19,361.9,318.49,inclinado,residencial,sim,2022,44.2
CE,Fortaleza,0.89,5.5,6.7,670.6,32377.94,884.4,596.83,plano,residencial,sim,2020,54.2
PE,Caruaru,0.87,5.3,7.2,531.4,35723.2,915.8,462.32,plano,rural,sim,2020,77.3
DF,Samambaia,0.92,5.0,7.8,977.6,34148.04,936.0,861.12,plano,residencial,sim,2020,39.7
CE,Fortaleza,0.89,5.5,7.5,540.6,33696.67,990.0,481.13,plano,rural,não,2019,70.0
CE,Sobral,0.89,5.5,3.3,461.6,14350.56,435.6,387.68,plano,residencial,sim,2021,37.0
RJ,Volta Redonda,1.1,4.8,2.7,544.2,12294.56,311.0,342.14,inclinado,rural,sim,2019,35.9
GO,Catalão,0.86,5.1,8.9,356.7,37933.27,1089.4,306.76,inclinado,residencial,não,2021,123.7
SP,São José dos Campos,0.85,4.5,8.3,942.5,38306.89,896.4,761.94,plano,residencial,não,2021,50.3
GO,Anápolis,0.86,5.1,5.9,537.3,26866.29,722.2,462.08,plano,residencial,sim,2023,58.1
SP,São José dos Campos,0.85,4.5,7.4,538.0,34078.85,799.2,457.3,plano,residencial,não,2022,74.5
BA,Salvador,0.88,5.2,7.3,850.9,31116.63,911.0,748.79,plano,residencial,não,2022,41.6
SC,Criciúma,0.83,4.4,4.9,624.3,24417.49,517.4,429.48,inclinado,residencial,sim,2022,56.9
CE,Juazeiro do Norte,0.89,5.5,8.1,967.3,34066.47,1069.2,860.9,plano,residencial,sim,2022,39.6
PE,Olinda,0.87,5.3,7.9,798.4,35409.33,1004.9,694.61,inclinado,rural,sim,2020,51.0
GO,Aparecida de Goiânia,0.86,5.1,6.9,445.3,29851.85,844.6,382.96,inclinado,residencial,sim,2022,78.0
GO,Goiânia,0.86,5.1,5.3,278.7,26139.92,648.7,239.68,plano,residencial,sim,2023,109.1
DF,Brasília,0.92,5.0,4.7,706.4,20092.4,564.0,518.88,plano,rural,não,2019,38.7
CE,Fortaleza,0.89,5.5,6.5,336.1,28917.32,858.0,299.13,plano,residencial,não,2023,96.7
CE,Fortaleza,0.89,5.5,7.2,651.9,34032.15,950.4,580.19,inclinado,residencial,não,2019,58.7
SC,Criciúma,0.83,4.4,9.2,451.7,42090.7,971.5,374.91,plano,rural,não,2019,112.3
CE,Fortaleza,0.89,5.5,8.4,928.3,38467.17,1108.8,826.19,plano,rural,sim,2021,46.6
PE,Petrolina,0.87,5.3,8.8,581.0,38758.32,1119.4,505.47,plano,rural,sim,2019,76.7
GO,Catalão,0.86,5.1,7.6,856.8,34943.91,930.2,736.85,plano,residencial,não,2021,47.4
SC,Florianópolis,0.83,4.4,4.4,257.2,19430.19,464.6,213.48,inclinado,residencial,sim,2021,91.0
CE,Juazeiro do Norte,0.89,5.5,8.1,916.7,38116.83,1069.2,815.86,plano,residencial,sim,2020,46.7
SP,Santos,0.85,4.5,3.3,926.5,14617.78,356.4,302.94,plano,rural,não,2021,48.3
BA,Juazeiro,0.88,5.2,4.9,626.6,22283.29,611.5,538.14,inclinado,rural,não,2021,41.4
RS,Porto Alegre,0.95,4.3,2.8,811.6,13610.27,289.0,274.51,inclinado,rural,não,2020,49.6
PE,Jaboatão dos Guararapes,0.87,5.3,5.5,831.3,24703.91,699.6,608.65,plano,rural,sim,2020,40.6
SP,Santos,0.85,4.5,5.5,556.0,25380.42,594.0,472.6,plano,rural,sim,2023,53.7
RJ,Rio de Janeiro,1.1,4.8,9.8,347.0,42395.61,1129.0,381.7,plano,rural,não,2021,111.1
MG,Betim,0.9,5.0,5.5,910.5,25829.08,660.0,594.0,inclinado,residencial,sim,2019,43.5
MG,Contagem,0.9,5.0,6.0,920.5,29322.88,720.0,648.0,plano,rural,não,2023,45.3
BA,Ilhéus,0.88,5.2,6.8,945.3,29550.09,848.6,746.8,plano,rural,sim,2020,39.6
BA,Salvador,0.88,5.2,4.6,403.5,21018.23,574.1,355.08,plano,rural,não,2023,59.2
CE,Caucaia,0.89,5.5,8.8,965.1,41721.76,1161.6,858.94,inclinado,rural,não,2021,48.6
RS,Pelotas,0.95,4.3,5.6,980.0,24911.4,577.9,549.02,plano,rural,sim,2020,45.4
MG,Uberlândia,0.9,5.0,6.7,649.4,31575.11,804.0,584.46,inclinado,rural,não,2023,54.0
DF,Taguatinga,0.92,5.0,2.0,535.2,8679.06,240.0,220.8,inclinado,rural,não,2022,39.3
RJ,Nova Friburgo,1.1,4.8,9.4,837.5,46306.76,1082.9,921.25,plano,residencial,não,2021,50.3
SP,São Paulo,0.85,4.5,9.8,335.6,46422.68,1058.4,285.26,plano,residencial,não,2021,162.7
RS,Pelotas,0.95,4.3,4.4,620.2,21948.91,454.1,431.38,inclinado,residencial,não,2023,50.9
DF,Brasília,0.92,5.0,7.6,664.1,32505.67,912.0,610.97,plano,rural,não,2019,53.2
DF,Brasília,0.92,5.0,6.6,294.0,29077.22,792.0,270.48,plano,residencial,sim,2022,107.5
BA,Ilhéus,0.88,5.2,6.7,989.7,28815.4,836.2,735.82,plano,rural,não,2021,39.2
DF,Taguatinga,0.92,5.0,3.1,417.5,13793.69,372.0,342.24,plano,residencial,sim,2019,40.3
CE,Maracanaú,0.89,5.5,4.5,944.2,21409.27,594.0,528.66,plano,rural,sim,2020,40.5
CE,Sobral,0.89,5.5,7.3,583.0,33852.53,963.6,518.87,inclinado,residencial,não,2023,65.2
CE,Juazeiro do Norte,0.89,5.5,6.3,756.3,30022.67,831.6,673.11,plano,residencial,não,2022,44.6
CE,Caucaia,0.89,5.5,7.1,378.2,34509.75,937.2,336.6,inclinado,residencial,não,2021,102.5
SC,Joinville,0.83,4.4,8.3,753.7,37061.35,876.5,625.57,plano,residencial,não,2020,59.2
RS,Pelotas,0.95,4.3,9.1,828.7,38251.67,939.1,787.26,inclinado,rural,não,2022,48.6
RJ,Volta Redonda,1.1,4.8,7.6,697.4,33097.01,875.5,767.14,plano,rural,não,2020,43.1
MG,Contagem,0.9,5.0,8.4,553.8,40883.28,1008.0,498.42,inclinado,rural,sim,2020,82.0
BA,Vitória da Conquista,0.88,5.2,2.7,611.6,11810.13,337.0,296.52,inclinado,rural,não,2023,39.8
SC,Florianópolis,0.83,4.4,5.0,421.3,23431.57,528.0,349.68,plano,rural,não,2022,67.0
BA,Feira de Santana,0.88,5.2,2.9,449.9,14315.88,361.9,318.49,inclinado,rural,sim,2022,44.9
MG,Uberlândia,0.9,5.0,3.8,867.8,17697.01,456.0,410.4,plano,rural,sim,2022,43.1
GO,Aparecida de Goiânia,0.86,5.1,5.4,593.8,25722.72,661.0,510.67,inclinado,residencial,sim,2022,50.4
SP,Ribeirão Preto,0.85,4.5,6.4,599.9,28090.86,691.2,509.91,inclinado,rural,sim,2021,55.1
SP,Campinas,0.85,4.5,7.0,889.5,33487.73,756.0,642.6,plano,rural,sim,2019,52.1
CE,Sobral,0.89,5.5,8.9,277.4,37996.86,1174.8,246.89,plano,residencial,sim,2022,153.9
DF,Ceilândia,0.92,5.0,9.1,719.3,39957.18,1092.0,661.76,inclinado,rural,não,2022,60.4
DF,Samambaia,0.92,5.0,9.8,894.3,42811.97,1176.0,822.76,inclinado,residencial,não,2021,52.0
MG,Montes Claros,0.9,5.0,5.0,383.2,24345.48,600.0,344.88,inclinado,residencial,não,2023,70.6
BA,Vitória da Conquista,0.88,5.2,9.8,935.7,45587.64,1223.0,823.42,plano,rural,sim,2019,55.4
RJ,Volta Redonda,1.1,4.8,5.7,318.1,26128.74,656.6,349.91,inclinado,rural,sim,2023,74.7
BA,Feira de Santana,0.88,5.2,5.5,865.9,25650.49,686.4,604.03,plano,rural,sim,2023,42.5
DF,Planaltina,0.92,5.0,2.8,605.0,12259.53,336.0,309.12,inclinado,residencial,sim,2021,39.7
SC,Chapecó,0.83,4.4,5.6,378.0,25487.46,591.4,313.74,inclinado,rural,não,2019,81.2
SC,Florianópolis,0.83,4.4,4.5,589.5,22407.94,475.2,394.42,plano,residencial,não,2022,56.8
GO,Rio Verde,0.86,5.1,3.5,562.5,15604.7,428.4,368.42,inclinado,rural,sim,2019,42.4
MG,Juiz de Fora,0.9,5.0,5.0,708.0,23826.14,600.0,540.0,plano,rural,sim,2021,44.1
SC,Blumenau,0.83,4.4,3.0,324.7,13683.21,316.8,262.94,inclinado,residencial,sim,2021,52.0
PE,Jaboatão dos Guararapes,0.87,5.3,4.8,565.5,22792.89,610.6,491.99,inclinado,residencial,sim,2023,46.3
PE,Jaboatão dos Guararapes,0.87,5.3,7.1,927.6,31260.19,903.1,785.71,inclinado,residencial,não,2021,39.8
MG,Belo Horizonte,0.9,5.0,3.7,869.6,17313.03,444.0,399.6,inclinado,rural,não,2019,43.3
PE,Jaboatão dos Guararapes,0.87,5.3,3.3,697.6,16340.51,419.8,365.19,plano,rural,sim,2022,44.7
SP,Santos,0.85,4.5,8.9,283.2,38923.18,961.2,240.72,inclinado,residencial,não,2022,161.7
DF,Taguatinga,0.92,5.0,4.0,265.6,17136.4,480.0,244.35,plano,rural,sim,2022,70.1
RS,Caxias do Sul,0.95,4.3,3.0,529.0,12879.77,309.6,294.12,plano,residencial,não,2021,43.8
RJ,Niterói,1.1,4.8,9.8,388.0,48311.55,1129.0,426.8,inclinado,residencial,sim,2022,113.2
MG,Belo Horizonte,0.9,5.0,5.4,323.8,22856.4,648.0,291.42,plano,residencial,sim,2020,78.4
MG,Belo Horizonte,0.9,5.0,9.5,685.4,43090.03,1140.0,616.86,inclinado,rural,sim,2021,69.9
RJ,Campos dos Goytacazes,1.1,4.8,7.1,609.4,35117.11,817.9,670.34,plano,residencial,não,2023,52.4
MG,Betim,0.9,5.0,7.9,436.4,37223.42,948.0,392.76,inclinado,rural,sim,2022,94.8
CE,Juazeiro do Norte,0.89,5.5,6.4,927.9,29527.99,844.8,751.87,plano,residencial,não,2021,39.3
MG,Juiz de Fora,0.9,5.0,5.9,962.5,26237.64,708.0,637.2,inclinado,residencial,não,2019,41.2
RJ,Campos dos Goytacazes,1.1,4.8,5.5,415.4,25629.62,633.6,456.94,inclinado,rural,sim,2022,56.1
